x,y,z,c
49,168,46,#000000
109,41,50,#000000
97,35,43,#000000
132,35,29,#000000
147,53,53,#000000
173,75,8,#000000
98,8,21,#000000
172,17,0,#000000
135,48,3,#000000
141,43,8,#000000
133,44,1,#000000
157,131,48,#000000
167,16,5,#000000
106,39,50,#000000
142,41,6,#000000
161,41,6,#000000
178,38,57,#000000
162,140,9,#000000
81,154,38,#000000
150,37,55,#000000
175,69,2,#000000
164,140,10,#000000
33,179,6,#000000
111,6,33,#000000
140,44,12,#000000
162,40,8,#000000
175,72,30,#000000
162,135,14,#000000
140,43,3,#000000
147,37,1,#000000
159,132,51,#000000
39,162,18,#000000
44,169,45,#000000
177,43,59,#000000
177,33,55,#000000
176,66,26,#000000
84,158,40,#000000
98,12,19,#000000
112,4,32,#000000
156,36,6,#000000
153,41,3,#000000
160,134,44,#000000
159,143,15,#000000
39,165,24,#000000
80,156,32,#000000
100,27,46,#000000
107,2,38,#000000
91,37,13,#000000
146,40,59,#000000
138,41,6,#000000
145,37,54,#000000
81,159,42,#000000
95,5,20,#000000
95,23,37,#000000
173,20,8,#000000
161,1,24,#000000
140,41,1,#000000
178,33,55,#000000
151,89,21,#000000
164,144,5,#000000
170,141,42,#000000
170,144,40,#000000
80,163,36,#000000
112,11,36,#000000
163,5,22,#000000
137,38,8,#000000
136,30,22,#000000
164,144,15,#000000
138,40,6,#000000
176,67,26,#000000
78,156,43,#000000
102,3,19,#000000
133,29,26,#000000
168,19,5,#000000
134,44,12,#000000
142,57,4,#000000
162,139,9,#000000
172,145,39,#000000
176,40,58,#000000
176,68,3,#000000
39,166,24,#000000
110,42,50,#000000
112,43,51,#000000
135,42,8,#000000
148,51,52,#000000
142,34,58,#000000
175,71,8,#000000
159,142,12,#000000
131,41,7,#000000
141,51,47,#000000
134,28,26,#000000
141,58,51,#000000
159,46,5,#000000
41,167,45,#000000
95,6,18,#000000
91,23,38,#000000
141,44,8,#000000
170,71,10,#000000
172,143,38,#000000
94,3,18,#000000
101,6,20,#000000
172,26,5,#000000
155,39,1,#000000
165,142,15,#000000
147,41,55,#000000
165,140,10,#000000
162,132,51,#000000
170,71,9,#000000
158,140,14,#000000
173,145,40,#000000
172,134,39,#000000
162,144,9,#000000
86,156,38,#000000
171,24,5,#000000
159,4,28,#000000
109,43,57,#000000
105,40,53,#000000
134,49,4,#000000
163,6,22,#000000
91,38,4,#000000
144,54,56,#000000
173,69,29,#000000
161,133,50,#000000
159,138,10,#000000
161,128,46,#000000
31,176,5,#000000
99,29,41,#000000
164,5,26,#000000
137,42,1,#000000
133,30,20,#000000
157,139,15,#000000
177,137,39,#000000
36,179,0,#000000
112,6,39,#000000
139,43,4,#000000
176,64,24,#000000
42,159,27,#000000
91,39,4,#000000
141,57,50,#000000
172,138,45,#000000
39,165,20,#000000
83,156,43,#000000
133,32,21,#000000
143,44,2,#000000
154,45,6,#000000
152,82,16,#000000
129,30,22,#000000
148,37,53,#000000
151,36,59,#000000
173,33,58,#000000
115,3,33,#000000
133,44,8,#000000
140,53,56,#000000
162,132,43,#000000
146,51,47,#000000
143,38,57,#000000
76,158,40,#000000
96,6,21,#000000
93,23,47,#000000
109,3,40,#000000
94,27,40,#000000
143,42,7,#000000
158,46,8,#000000
154,43,7,#000000
173,67,6,#000000
171,143,38,#000000
42,171,48,#000000
98,5,15,#000000
145,42,4,#000000
155,46,6,#000000
35,177,8,#000000
96,26,39,#000000
173,17,0,#000000
134,35,23,#000000
136,45,3,#000000
134,37,24,#000000
128,39,4,#000000
139,39,6,#000000
132,33,30,#000000
179,37,58,#000000
161,134,50,#000000
77,159,40,#000000
93,28,43,#000000
159,4,20,#000000
171,16,10,#000000
138,30,27,#000000
136,34,28,#000000
166,138,10,#000000
50,166,47,#000000
97,1,14,#000000
98,32,42,#000000
115,39,56,#000000
158,40,1,#000000
150,89,19,#000000
36,162,21,#000000
43,165,53,#000000
45,171,51,#000000
110,8,36,#000000
154,41,2,#000000
109,4,38,#000000
173,22,7,#000000
134,36,24,#000000
173,73,3,#000000
161,139,9,#000000
33,178,2,#000000
170,68,11,#000000
171,64,31,#000000
166,141,16,#000000
163,131,51,#000000
159,137,47,#000000
139,40,4,#000000
45,168,52,#000000
81,161,35,#000000
102,1,15,#000000
99,24,48,#000000
92,29,43,#000000
160,1,23,#000000
97,3,23,#000000
96,25,45,#000000
93,39,7,#000000
172,80,6,#000000
177,69,27,#000000
175,142,40,#000000
40,165,51,#000000
98,2,24,#000000
99,28,46,#000000
99,30,44,#000000
133,43,6,#000000
137,43,2,#000000
161,43,6,#000000
36,178,0,#000000
178,29,59,#000000
97,33,42,#000000
136,34,27,#000000
137,47,6,#000000
128,32,26,#000000
167,138,13,#000000
169,137,36,#000000
93,20,42,#000000
173,24,4,#000000
134,46,9,#000000
141,58,53,#000000
162,39,4,#000000
172,133,39,#000000
178,70,32,#000000
168,140,40,#000000
45,160,24,#000000
81,163,36,#000000
94,20,42,#000000
99,27,46,#000000
136,46,6,#000000
146,41,4,#000000
113,44,53,#000000
176,76,30,#000000
166,129,49,#000000
169,17,1,#000000
140,46,10,#000000
131,44,5,#000000
143,51,46,#000000
159,140,11,#000000
155,146,7,#000000
156,47,6,#000000
76,156,41,#000000
93,31,41,#000000
94,34,42,#000000
145,39,1,#000000
146,59,4,#000000
141,41,5,#000000
136,45,6,#000000
152,86,21,#000000
102,3,21,#000000
98,24,44,#000000
168,16,8,#000000
163,6,25,#000000
172,19,1,#000000
133,45,9,#000000
41,176,3,#000000
178,16,5,#000000
138,50,9,#000000
158,46,4,#000000
175,73,31,#000000
162,146,12,#000000
35,175,9,#000000
98,0,18,#000000
112,9,35,#000000
109,6,36,#000000
177,136,38,#000000
98,25,38,#000000
99,22,44,#000000
172,13,4,#000000
134,39,25,#000000
178,68,27,#000000
167,139,13,#000000
95,28,46,#000000
175,17,1,#000000
130,42,4,#000000
139,53,54,#000000
172,32,58,#000000
169,68,2,#000000
171,142,38,#000000
79,162,36,#000000
98,25,40,#000000
134,33,30,#000000
146,51,56,#000000
176,75,30,#000000
156,147,7,#000000
46,167,52,#000000
83,160,39,#000000
148,52,50,#000000
172,31,56,#000000
171,77,5,#000000
160,149,8,#000000
45,159,19,#000000
33,179,4,#000000
97,23,42,#000000
110,4,40,#000000
157,5,21,#000000
175,74,6,#000000
168,71,6,#000000
158,139,11,#000000
40,164,19,#000000
101,3,16,#000000
164,4,21,#000000
172,21,8,#000000
115,39,53,#000000
142,34,56,#000000
141,46,5,#000000
139,53,51,#000000
38,164,20,#000000
45,169,51,#000000
77,159,41,#000000
96,22,37,#000000
94,25,47,#000000
130,42,2,#000000
171,66,30,#000000
165,138,10,#000000
172,133,40,#000000
147,54,53,#000000
143,56,49,#000000
96,23,47,#000000
97,24,38,#000000
110,9,36,#000000
92,38,4,#000000
114,39,51,#000000
145,43,4,#000000
175,138,43,#000000
94,28,44,#000000
155,2,26,#000000
111,40,49,#000000
132,32,30,#000000
161,130,52,#000000
99,2,24,#000000
95,26,47,#000000
155,2,22,#000000
179,67,27,#000000
159,133,44,#000000
82,162,36,#000000
175,18,9,#000000
146,35,52,#000000
168,71,7,#000000
35,177,0,#000000
174,21,7,#000000
145,39,7,#000000
139,47,9,#000000
147,36,52,#000000
41,177,4,#000000
96,3,15,#000000
81,156,33,#000000
139,53,55,#000000
146,53,56,#000000
162,140,18,#000000
158,133,48,#000000
44,170,51,#000000
92,36,3,#000000
146,37,8,#000000
132,46,5,#000000
145,37,8,#000000
82,159,41,#000000
174,24,5,#000000
170,22,6,#000000
111,44,51,#000000
139,39,2,#000000
162,140,19,#000000
35,159,22,#000000
94,22,36,#000000
158,5,27,#000000
144,59,52,#000000
45,175,48,#000000
113,45,54,#000000
112,42,57,#000000
132,34,23,#000000
147,53,50,#000000
98,5,22,#000000
170,21,7,#000000
132,41,0,#000000
155,144,8,#000000
162,137,14,#000000
166,141,14,#000000
164,133,48,#000000
168,16,2,#000000
94,36,11,#000000
107,43,54,#000000
133,45,2,#000000
131,33,23,#000000
156,38,6,#000000
44,169,51,#000000
174,22,7,#000000
178,30,59,#000000
167,69,8,#000000
173,133,40,#000000
168,69,3,#000000
177,70,6,#000000
33,177,7,#000000
44,173,49,#000000
113,2,31,#000000
163,7,23,#000000
110,45,52,#000000
173,77,7,#000000
150,91,22,#000000
40,162,18,#000000
99,25,48,#000000
132,42,11,#000000
143,59,51,#000000
153,41,9,#000000
171,70,2,#000000
37,175,9,#000000
94,23,37,#000000
142,38,9,#000000
152,82,25,#000000
154,44,6,#000000
175,140,42,#000000
77,162,38,#000000
98,25,44,#000000
91,36,3,#000000
110,46,52,#000000
131,35,24,#000000
142,35,58,#000000
111,5,33,#000000
177,17,7,#000000
136,41,0,#000000
130,30,21,#000000
147,51,48,#000000
148,51,55,#000000
145,56,54,#000000
41,168,47,#000000
108,5,36,#000000
174,16,10,#000000
168,18,7,#000000
139,46,11,#000000
135,47,9,#000000
151,36,58,#000000
158,131,44,#000000
163,8,24,#000000
179,68,28,#000000
172,72,9,#000000
157,146,1,#000000
158,133,45,#000000
176,71,28,#000000
156,146,1,#000000
38,160,17,#000000
43,159,18,#000000
77,161,37,#000000
96,22,43,#000000
136,34,26,#000000
178,35,56,#000000
170,137,35,#000000
156,129,48,#000000
41,169,48,#000000
133,38,24,#000000
149,41,58,#000000
176,32,54,#000000
174,65,35,#000000
175,141,41,#000000
85,156,35,#000000
92,25,45,#000000
114,41,53,#000000
167,69,7,#000000
174,68,33,#000000
112,45,54,#000000
159,47,6,#000000
98,24,45,#000000
92,25,42,#000000
158,8,22,#000000
93,38,10,#000000
90,37,3,#000000
109,42,50,#000000
169,136,35,#000000
171,138,36,#000000
39,163,25,#000000
102,4,21,#000000
118,1,36,#000000
141,41,7,#000000
142,42,8,#000000
169,141,40,#000000
135,33,22,#000000
145,39,0,#000000
40,159,28,#000000
81,165,38,#000000
101,24,40,#000000
110,4,39,#000000
98,22,45,#000000
100,30,43,#000000
171,77,6,#000000
160,139,9,#000000
112,1,30,#000000
159,2,29,#000000
97,30,46,#000000
145,41,2,#000000
135,49,9,#000000
140,52,56,#000000
161,133,43,#000000
37,162,25,#000000
98,25,48,#000000
167,17,3,#000000
137,37,3,#000000
133,41,6,#000000
165,3,24,#000000
157,45,8,#000000
171,74,8,#000000
164,133,45,#000000
79,158,42,#000000
85,156,36,#000000
102,1,22,#000000
108,3,34,#000000
94,30,43,#000000
160,149,2,#000000
44,159,26,#000000
157,7,23,#000000
111,45,56,#000000
165,132,48,#000000
116,3,39,#000000
95,22,47,#000000
172,23,7,#000000
137,33,24,#000000
138,39,2,#000000
130,41,6,#000000
40,161,17,#000000
161,5,28,#000000
92,40,6,#000000
133,37,24,#000000
134,45,9,#000000
171,69,11,#000000
141,44,2,#000000
175,39,59,#000000
36,162,20,#000000
41,175,1,#000000
48,169,46,#000000
95,1,24,#000000
99,25,38,#000000
136,35,25,#000000
135,48,8,#000000
144,56,49,#000000
39,178,6,#000000
40,166,48,#000000
82,163,38,#000000
155,3,25,#000000
160,6,20,#000000
174,22,6,#000000
141,53,48,#000000
78,157,33,#000000
115,7,36,#000000
97,24,49,#000000
96,31,41,#000000
135,31,21,#000000
156,149,6,#000000
76,156,42,#000000
77,157,42,#000000
175,38,59,#000000
175,139,42,#000000
107,43,52,#000000
177,72,31,#000000
38,175,9,#000000
45,167,53,#000000
80,168,38,#000000
159,7,27,#000000
159,9,26,#000000
170,24,5,#000000
164,145,14,#000000
83,158,34,#000000
145,51,47,#000000
172,67,30,#000000
40,156,22,#000000
96,21,43,#000000
114,40,51,#000000
113,40,58,#000000
134,45,2,#000000
139,52,49,#000000
160,138,47,#000000
40,175,1,#000000
100,8,18,#000000
109,4,34,#000000
159,9,22,#000000
132,45,5,#000000
150,86,24,#000000
80,166,38,#000000
96,7,17,#000000
96,31,45,#000000
106,40,57,#000000
112,45,56,#000000
155,145,2,#000000
49,167,45,#000000
168,19,3,#000000
140,42,13,#000000
169,139,38,#000000
136,31,22,#000000
134,39,26,#000000
179,39,59,#000000
172,66,5,#000000
162,146,8,#000000
41,166,24,#000000
50,165,48,#000000
173,16,10,#000000
167,136,39,#000000
153,39,9,#000000
168,68,9,#000000
109,2,32,#000000
170,22,7,#000000
90,44,8,#000000
109,39,59,#000000
110,45,51,#000000
145,53,48,#000000
37,163,22,#000000
42,169,46,#000000
110,3,40,#000000
98,24,43,#000000
139,41,14,#000000
158,38,6,#000000
162,8,23,#000000
164,3,21,#000000
138,46,6,#000000
154,82,22,#000000
173,72,3,#000000
37,159,17,#000000
50,166,49,#000000
132,27,26,#000000
96,33,44,#000000
145,57,53,#000000
161,129,53,#000000
41,160,27,#000000
47,169,45,#000000
76,158,37,#000000
168,18,8,#000000
177,28,59,#000000
100,26,47,#000000
176,20,5,#000000
161,10,24,#000000
163,3,20,#000000
163,147,6,#000000
174,138,44,#000000
159,0,24,#000000
108,42,58,#000000
137,30,22,#000000
131,30,21,#000000
135,41,14,#000000
81,157,33,#000000
134,38,4,#000000
131,42,1,#000000
141,59,52,#000000
165,2,23,#000000
158,9,24,#000000
176,74,30,#000000
157,131,44,#000000
172,136,34,#000000
135,47,7,#000000
147,52,55,#000000
169,71,9,#000000
174,140,43,#000000
35,174,4,#000000
94,28,42,#000000
107,1,39,#000000
169,18,9,#000000
137,42,14,#000000
162,141,10,#000000
94,1,22,#000000
142,44,6,#000000
146,52,48,#000000
141,54,55,#000000
171,139,44,#000000
171,23,3,#000000
163,145,12,#000000
165,131,44,#000000
172,143,42,#000000
161,133,44,#000000
158,40,11,#000000
161,41,7,#000000
96,5,16,#000000
115,3,40,#000000
110,8,35,#000000
111,36,54,#000000
142,41,7,#000000
147,40,59,#000000
162,148,4,#000000
109,3,33,#000000
174,23,4,#000000
90,40,11,#000000
133,44,7,#000000
152,82,17,#000000
168,138,41,#000000
37,161,19,#000000
40,178,2,#000000
38,161,18,#000000
76,158,39,#000000
94,3,20,#000000
153,42,8,#000000
160,136,45,#000000
90,45,9,#000000
114,41,51,#000000
138,41,7,#000000
132,38,25,#000000
171,136,35,#000000
176,139,39,#000000
34,175,9,#000000
103,2,17,#000000
168,18,5,#000000
133,32,31,#000000
165,130,44,#000000
134,39,10,#000000
177,67,26,#000000
171,68,1,#000000
164,134,46,#000000
171,137,35,#000000
35,176,9,#000000
33,175,8,#000000
114,3,32,#000000
130,40,7,#000000
147,59,4,#000000
161,128,47,#000000
142,34,4,#000000
150,90,21,#000000
162,142,10,#000000
156,148,7,#000000
163,136,46,#000000
162,131,43,#000000
177,71,32,#000000
161,149,3,#000000
44,168,52,#000000
159,1,24,#000000
162,6,27,#000000
137,32,28,#000000
144,48,52,#000000
151,88,22,#000000
100,29,42,#000000
143,36,57,#000000
150,36,54,#000000
172,75,4,#000000
173,70,10,#000000
163,147,3,#000000
98,23,39,#000000
128,30,24,#000000
140,45,10,#000000
143,57,54,#000000
154,39,11,#000000
172,69,11,#000000
171,67,6,#000000
173,64,25,#000000
95,3,16,#000000
111,6,39,#000000
160,7,21,#000000
109,46,52,#000000
140,42,5,#000000
148,42,57,#000000
162,147,15,#000000
137,43,6,#000000
150,58,1,#000000
38,165,20,#000000
40,177,4,#000000
152,40,8,#000000
164,129,43,#000000
165,132,47,#000000
42,165,44,#000000
176,16,1,#000000
173,23,7,#000000
151,39,6,#000000
162,141,18,#000000
163,146,5,#000000
99,8,21,#000000
158,2,29,#000000
140,57,1,#000000
164,143,12,#000000
169,140,42,#000000
84,159,39,#000000
96,1,24,#000000
133,27,25,#000000
91,44,8,#000000
147,42,59,#000000
178,40,59,#000000
35,160,22,#000000
98,21,43,#000000
90,33,8,#000000
160,41,9,#000000
171,143,42,#000000
166,129,45,#000000
149,36,53,#000000
36,175,10,#000000
45,169,52,#000000
117,2,37,#000000
98,33,44,#000000
141,44,7,#000000
134,41,8,#000000
159,135,48,#000000
172,140,37,#000000
37,162,19,#000000
42,162,18,#000000
35,160,21,#000000
44,161,22,#000000
94,26,45,#000000
164,144,12,#000000
84,158,39,#000000
160,3,19,#000000
168,71,8,#000000
159,138,19,#000000
163,147,4,#000000
112,6,33,#000000
159,39,1,#000000
177,16,6,#000000
172,22,7,#000000
179,65,26,#000000
39,167,22,#000000
47,172,48,#000000
46,171,46,#000000
107,42,52,#000000
169,139,42,#000000
35,160,20,#000000
41,161,26,#000000
97,8,21,#000000
91,40,5,#000000
144,41,1,#000000
172,76,8,#000000
82,159,34,#000000
98,4,15,#000000
80,164,40,#000000
160,5,20,#000000
148,52,54,#000000
144,36,53,#000000
157,43,10,#000000
175,70,32,#000000
161,11,25,#000000
165,142,12,#000000
165,140,17,#000000
44,159,19,#000000
110,1,31,#000000
163,4,20,#000000
129,41,4,#000000
138,41,5,#000000
138,53,52,#000000
175,67,34,#000000
164,141,11,#000000
38,165,24,#000000
115,6,36,#000000
114,42,52,#000000
138,42,2,#000000
132,45,4,#000000
141,54,48,#000000
176,138,41,#000000
175,139,38,#000000
173,76,5,#000000
44,168,44,#000000
98,9,20,#000000
157,36,5,#000000
153,42,4,#000000
151,35,54,#000000
151,86,24,#000000
35,159,25,#000000
101,25,46,#000000
176,18,3,#000000
175,69,10,#000000
167,68,9,#000000
173,76,6,#000000
159,142,15,#000000
161,147,15,#000000
78,162,38,#000000
79,159,34,#000000
84,158,37,#000000
79,158,34,#000000
108,1,32,#000000
138,42,4,#000000
163,137,47,#000000
41,168,50,#000000
113,4,32,#000000
157,148,8,#000000
46,163,48,#000000
99,1,24,#000000
158,6,21,#000000
134,37,4,#000000
141,57,3,#000000
169,68,10,#000000
44,164,48,#000000
156,4,21,#000000
140,54,49,#000000
155,40,1,#000000
161,41,5,#000000
150,80,21,#000000
160,145,0,#000000
34,177,0,#000000
82,157,43,#000000
91,27,41,#000000
142,53,56,#000000
143,37,59,#000000
167,70,6,#000000
162,129,42,#000000
172,66,28,#000000
172,137,35,#000000
173,134,40,#000000
157,148,2,#000000
79,154,38,#000000
101,5,20,#000000
112,42,50,#000000
107,44,54,#000000
141,57,4,#000000
174,72,3,#000000
81,161,41,#000000
132,32,22,#000000
158,45,4,#000000
99,10,19,#000000
174,23,6,#000000
163,4,28,#000000
144,42,2,#000000
141,59,2,#000000
153,84,24,#000000
158,140,15,#000000
83,158,42,#000000
92,23,47,#000000
98,24,39,#000000
175,20,5,#000000
139,47,7,#000000
135,44,12,#000000
102,24,40,#000000
170,20,2,#000000
132,41,10,#000000
156,131,47,#000000
115,4,39,#000000
107,45,54,#000000
133,47,4,#000000
133,43,7,#000000
175,137,44,#000000
44,161,25,#000000
138,48,7,#000000
149,59,0,#000000
132,33,22,#000000
157,38,6,#000000
160,143,5,#000000
94,26,46,#000000
167,16,4,#000000
137,32,29,#000000
177,137,40,#000000
154,43,6,#000000
171,66,6,#000000
176,69,33,#000000
159,140,18,#000000
42,166,44,#000000
93,27,41,#000000
113,43,55,#000000
132,43,1,#000000
144,39,0,#000000
150,34,52,#000000
95,27,39,#000000
162,7,22,#000000
161,127,47,#000000
170,139,44,#000000
46,171,50,#000000
137,39,8,#000000
146,37,1,#000000
169,68,1,#000000
178,71,31,#000000
33,175,0,#000000
49,167,48,#000000
98,22,46,#000000
175,16,9,#000000
142,57,50,#000000
152,34,57,#000000
173,68,28,#000000
171,74,4,#000000
47,171,47,#000000
94,22,48,#000000
108,45,52,#000000
128,30,29,#000000
144,59,51,#000000
148,43,58,#000000
32,177,1,#000000
112,1,41,#000000
101,27,43,#000000
107,41,51,#000000
41,165,45,#000000
109,3,39,#000000
133,28,25,#000000
91,42,9,#000000
43,162,25,#000000
43,171,48,#000000
91,38,12,#000000
91,37,3,#000000
139,41,2,#000000
147,37,7,#000000
152,34,55,#000000
45,163,48,#000000
47,172,47,#000000
131,42,7,#000000
130,42,3,#000000
145,51,57,#000000
139,53,53,#000000
111,45,52,#000000
143,41,1,#000000
172,141,37,#000000
43,168,44,#000000
109,40,59,#000000
173,73,9,#000000
113,42,57,#000000
140,43,12,#000000
171,64,27,#000000
46,165,53,#000000
133,35,29,#000000
142,44,2,#000000
175,66,34,#000000
165,139,18,#000000
98,8,17,#000000
111,0,36,#000000
107,42,51,#000000
156,42,10,#000000
177,69,4,#000000
178,67,33,#000000
94,26,47,#000000
129,32,27,#000000
148,40,59,#000000
175,136,44,#000000
39,164,25,#000000
140,45,11,#000000
142,43,6,#000000
139,48,8,#000000
157,44,9,#000000
166,141,12,#000000
167,137,40,#000000
84,159,36,#000000
159,42,9,#000000
178,71,29,#000000
97,27,41,#000000
109,3,32,#000000
177,68,4,#000000
167,129,47,#000000
158,140,11,#000000
40,178,6,#000000
136,42,8,#000000
140,42,2,#000000
149,57,4,#000000
141,39,8,#000000
159,40,1,#000000
112,46,53,#000000
152,35,57,#000000
162,135,49,#000000
77,160,39,#000000
132,42,8,#000000
140,46,8,#000000
131,36,26,#000000
162,145,9,#000000
162,133,50,#000000
106,42,54,#000000
112,45,52,#000000
142,34,54,#000000
152,87,20,#000000
46,159,22,#000000
85,157,39,#000000
97,23,43,#000000
149,57,3,#000000
172,65,33,#000000
161,138,9,#000000
106,42,56,#000000
134,47,3,#000000
173,76,7,#000000
170,143,39,#000000
162,129,52,#000000
158,129,43,#000000
162,138,19,#000000
45,160,22,#000000
37,160,18,#000000
106,43,54,#000000
143,36,56,#000000
172,74,9,#000000
179,66,34,#000000
138,44,13,#000000
130,32,30,#000000
179,37,57,#000000
147,44,57,#000000
160,41,10,#000000
45,160,21,#000000
94,24,37,#000000
97,24,46,#000000
90,24,40,#000000
92,28,44,#000000
105,39,55,#000000
174,76,6,#000000
159,144,0,#000000
177,136,40,#000000
159,5,28,#000000
158,7,26,#000000
137,49,10,#000000
163,143,11,#000000
99,0,19,#000000
165,2,27,#000000
134,36,28,#000000
154,145,5,#000000
174,72,9,#000000
164,145,6,#000000
31,175,7,#000000
76,158,36,#000000
99,9,20,#000000
114,6,38,#000000
139,39,8,#000000
158,44,3,#000000
160,127,47,#000000
163,135,47,#000000
94,30,44,#000000
135,36,26,#000000
141,54,56,#000000
154,44,5,#000000
176,30,59,#000000
162,128,47,#000000
138,40,2,#000000
145,41,58,#000000
40,156,21,#000000
40,176,7,#000000
79,163,36,#000000
145,57,54,#000000
143,51,58,#000000
175,140,41,#000000
79,156,33,#000000
139,53,52,#000000
174,33,55,#000000
176,66,25,#000000
93,1,22,#000000
159,11,23,#000000
144,43,6,#000000
136,43,1,#000000
178,31,54,#000000
169,72,4,#000000
90,42,6,#000000
178,66,34,#000000
160,131,43,#000000
96,8,20,#000000
97,5,22,#000000
98,22,43,#000000
155,3,24,#000000
175,18,1,#000000
172,16,11,#000000
97,26,39,#000000
138,39,8,#000000
145,40,55,#000000
167,138,17,#000000
40,165,49,#000000
92,41,7,#000000
143,43,2,#000000
147,51,49,#000000
159,143,5,#000000
156,129,47,#000000
40,165,47,#000000
171,14,5,#000000
170,19,1,#000000
129,40,4,#000000
138,52,54,#000000
151,85,17,#000000
36,159,25,#000000
46,174,47,#000000
177,28,58,#000000
146,53,55,#000000
162,40,7,#000000
150,59,0,#000000
45,165,43,#000000
78,161,40,#000000
90,25,43,#000000
161,10,23,#000000
139,54,53,#000000
174,142,38,#000000
43,163,20,#000000
94,4,17,#000000
136,42,4,#000000
137,41,4,#000000
39,156,22,#000000
35,179,7,#000000
49,165,52,#000000
95,1,15,#000000
93,26,41,#000000
131,43,6,#000000
160,39,1,#000000
172,70,11,#000000
169,70,9,#000000
172,136,45,#000000
93,1,18,#000000
135,41,0,#000000
177,65,25,#000000
162,130,52,#000000
137,37,2,#000000
134,43,8,#000000
142,42,11,#000000
174,67,27,#000000
97,24,39,#000000
93,38,5,#000000
94,30,41,#000000
130,41,4,#000000
156,147,2,#000000
45,160,20,#000000
133,48,5,#000000
145,58,52,#000000
160,41,2,#000000
174,70,28,#000000
173,140,37,#000000
172,73,3,#000000
150,81,21,#000000
42,160,17,#000000
40,179,4,#000000
38,162,26,#000000
93,27,44,#000000
95,27,45,#000000
100,28,44,#000000
102,4,19,#000000
134,45,1,#000000
160,130,52,#000000
161,11,24,#000000
174,66,26,#000000
41,162,26,#000000
36,161,19,#000000
45,163,47,#000000
44,165,43,#000000
82,159,35,#000000
112,4,40,#000000
161,142,11,#000000
176,63,30,#000000
160,139,19,#000000
42,164,24,#000000
97,7,21,#000000
97,4,23,#000000
146,40,2,#000000
138,42,5,#000000
144,53,48,#000000
167,68,5,#000000
45,167,52,#000000
100,26,46,#000000
98,32,43,#000000
106,41,51,#000000
129,30,23,#000000
143,34,53,#000000
49,167,46,#000000
143,36,54,#000000
170,68,1,#000000
173,137,35,#000000
160,2,19,#000000
161,147,14,#000000
173,144,41,#000000
77,159,35,#000000
96,9,19,#000000
174,20,8,#000000
167,16,7,#000000
138,31,28,#000000
130,32,29,#000000
36,177,0,#000000
110,45,56,#000000
129,33,24,#000000
142,46,3,#000000
141,43,12,#000000
164,131,44,#000000
84,158,36,#000000
153,42,5,#000000
174,75,6,#000000
162,146,13,#000000
170,142,38,#000000
176,139,42,#000000
39,177,0,#000000
78,161,36,#000000
160,7,27,#000000
169,70,2,#000000
150,91,21,#000000
176,140,40,#000000
163,133,44,#000000
134,36,4,#000000
132,45,2,#000000
148,57,5,#000000
146,52,56,#000000
139,52,55,#000000
177,70,28,#000000
45,169,44,#000000
160,0,23,#000000
92,38,11,#000000
169,71,8,#000000
111,5,39,#000000
112,5,32,#000000
129,39,2,#000000
147,34,52,#000000
131,33,30,#000000
150,87,18,#000000
165,133,47,#000000
47,171,49,#000000
78,163,37,#000000
111,10,35,#000000
165,3,25,#000000
154,42,9,#000000
170,74,4,#000000
157,49,6,#000000
172,71,10,#000000
43,168,52,#000000
111,1,41,#000000
112,5,40,#000000
107,43,53,#000000
132,41,9,#000000
141,52,47,#000000
162,144,0,#000000
160,135,45,#000000
96,28,46,#000000
172,32,57,#000000
152,85,19,#000000
164,142,17,#000000
153,85,22,#000000
156,147,3,#000000
40,161,27,#000000
83,159,36,#000000
137,32,24,#000000
154,44,7,#000000
152,39,8,#000000
175,35,56,#000000
171,135,40,#000000
98,22,38,#000000
161,3,19,#000000
137,38,4,#000000
135,40,9,#000000
150,57,1,#000000
160,141,5,#000000
34,179,7,#000000
41,159,27,#000000
176,19,3,#000000
136,40,9,#000000
160,137,47,#000000
175,136,45,#000000
112,44,52,#000000
149,59,1,#000000
142,52,57,#000000
145,39,55,#000000
173,69,1,#000000
164,144,8,#000000
161,141,18,#000000
157,129,44,#000000
156,3,21,#000000
112,40,49,#000000
97,33,44,#000000
139,37,8,#000000
148,58,4,#000000
169,72,6,#000000
171,20,8,#000000
93,39,10,#000000
145,40,7,#000000
175,71,4,#000000
162,144,17,#000000
161,137,45,#000000
48,168,51,#000000
81,163,40,#000000
78,159,42,#000000
169,69,10,#000000
155,145,8,#000000
112,9,34,#000000
155,2,25,#000000
173,21,2,#000000
173,142,42,#000000
154,41,3,#000000
166,68,6,#000000
32,177,3,#000000
41,165,44,#000000
95,26,45,#000000
107,1,35,#000000
176,18,4,#000000
148,57,4,#000000
178,67,34,#000000
36,179,7,#000000
80,153,37,#000000
98,24,41,#000000
169,72,8,#000000
166,139,17,#000000
173,136,35,#000000
40,157,22,#000000
101,1,23,#000000
108,45,54,#000000
147,52,49,#000000
138,52,50,#000000
175,69,27,#000000
93,2,19,#000000
112,2,31,#000000
179,65,34,#000000
158,138,10,#000000
167,136,41,#000000
172,72,3,#000000
172,141,43,#000000
75,157,39,#000000
85,156,37,#000000
95,4,22,#000000
95,7,19,#000000
106,1,36,#000000
98,26,39,#000000
128,31,26,#000000
136,41,14,#000000
33,175,9,#000000
82,161,36,#000000
79,162,40,#000000
96,22,47,#000000
155,4,24,#000000
94,31,41,#000000
153,85,19,#000000
